频道,#genre#
临泉新闻,http://60.168.224.189:2000/rtp/238.1.78.29:6160
阜南新闻,http://60.168.224.189:2000/rtp/238.1.79.11:4200
亳州综合,http://60.168.224.189:2000/rtp/238.1.78.128:6896
亳州农村,http://60.168.224.189:2000/rtp/238.1.78.129:6904
利辛新闻,http://60.168.224.189:2000/rtp/238.1.78.196:7440
涡阳新闻,http://60.168.224.189:2000/rtp/238.1.78.197:7448
蒙城新闻,http://60.168.224.189:2000/rtp/238.1.79.19:4264
CCTV1,http://111.199.234.214:3568/rtp/239.3.1.129:8008
CCTV2,http://111.199.234.214:3568/rtp/239.3.1.60:8084
CCTV3,http://111.199.234.214:3568/rtp/239.3.1.172:8001
CCTV4,http://111.199.234.214:3568/rtp/239.3.1.105:8092
CCTV4EUO,http://111.199.234.214:3568/rtp/239.3.1.213:4220
CCTV4AME,http://111.199.234.214:3568/rtp/239.3.1.214:4220
CCTV5,http://111.199.234.214:3568/rtp/239.3.1.173:8001
CCTV5+,http://111.199.234.214:3568/rtp/239.3.1.130:8004
CCTV6,http://111.199.234.214:3568/rtp/239.3.1.174:8001
CCTV7,http://111.199.234.214:3568/rtp/239.3.1.61:8104
CCTV8,http://111.199.234.214:3568/rtp/239.3.1.175:8001
CCTV9,http://111.199.234.214:3568/rtp/239.3.1.62:8112
CCTV10,http://111.199.234.214:3568/rtp/239.3.1.63:8116
CCTV11,http://111.199.234.214:3568/rtp/239.3.1.152:8120
CCTV12,http://111.199.234.214:3568/rtp/239.3.1.64:8124
CCTV13,http://111.199.234.214:3568/rtp/239.3.1.124:8128
CCTV14,http://111.199.234.214:3568/rtp/239.3.1.65:8132
CCTV15,http://111.199.234.214:3568/rtp/239.3.1.153:8136
CCTV16,http://111.199.234.214:3568/rtp/239.3.1.184:8001
CCTV17,http://111.199.234.214:3568/rtp/239.3.1.151:8144
湖南卫视,http://111.199.234.214:3568/rtp/239.3.1.132:8012
浙江卫视,http://111.199.234.214:3568/rtp/239.3.1.137:8036
江苏卫视,http://111.199.234.214:3568/rtp/239.3.1.135:8028
东方卫视,http://111.199.234.214:3568/rtp/239.3.1.136:8032
山东卫视,http://111.199.234.214:3568/rtp/239.3.1.209:8052
安徽卫视,http://111.199.234.214:3568/rtp/239.3.1.211:8064
湖北卫视,http://111.199.234.214:3568/rtp/239.3.1.138:8044
东南卫视,http://111.199.234.214:3568/rtp/239.3.1.156:8148
广东卫视,http://111.199.234.214:3568/rtp/239.3.1.142:8048
辽宁卫视,http://111.199.234.214:3568/rtp/239.3.1.210:8056
黑龙江卫视,http://111.199.234.214:3568/rtp/239.3.1.133:8016
深圳卫视,http://111.199.234.214:3568/rtp/239.3.1.134:8020
贵州卫视,http://111.199.234.214:3568/rtp/239.3.1.149:8076
天津卫视,http://111.199.234.214:3568/rtp/239.3.1.141:1234
河北卫视,http://111.199.234.214:3568/rtp/239.3.1.148:8072
重庆卫视,http://111.199.234.214:3568/rtp/239.3.1.122:8160
江西卫视,http://111.199.234.214:3568/rtp/239.3.1.123:8164
吉林卫视,http://111.199.234.214:3568/rtp/239.3.1.240:8172
北京卫视,http://111.199.234.214:3568/rtp/239.3.1.241:8000
BTV新闻,http://111.199.234.214:3568/rtp/239.3.1.159:8000
BTV文艺,http://111.199.234.214:3568/rtp/239.3.1.242:8000
BTV影视,http://111.199.234.214:3568/rtp/239.3.1.158:8000
BTRV体育休闲,http://111.199.234.214:3568/rtp/239.3.1.243:8000
BRTV纪实科教,http://111.199.234.214:3568/rtp/239.3.1.115:8000
BRTV财经,http://111.199.234.214:3568/rtp/239.3.1.116:8000
BRTV生活,http://111.199.234.214:3568/rtp/239.3.1.117:8000
卡酷动画,http://111.199.234.214:3568/rtp/239.3.1.189:8000
朝阳融媒[高清],http://111.199.234.214:3568/rtp/239.3.1.163:8001
密云电视台[高清],http://111.199.234.214:3568/rtp/239.3.1.154:8001
房山电视台[高清],http://111.199.234.214:3568/rtp/239.3.1.96:8001
通州融媒[高清],http://111.199.234.214:3568/rtp/239.3.1.221:8001
CCTV 4K,http://111.199.234.214:3568/rtp/239.3.1.245:2000
爱上4K,http://111.199.234.214:3568/rtp/239.3.1.236:2000
北京IPTV 4K超清[4K],http://111.199.234.214:3568/rtp/239.3.1.249:8001
北京IPTV淘精彩[高清],http://111.199.234.214:3568/rtp/239.3.1.178:8001
北京IPTV淘娱乐[高清],http://111.199.234.214:3568/rtp/239.3.1.100:8001
北京IPTV淘剧场[高清],http://111.199.234.214:3568/rtp/239.3.1.95:8001
北京IPTV淘Baby[高清],http://111.199.234.214:3568/rtp/239.3.1.238:8001
北京IPTV淘电影[高清],http://111.199.234.214:3568/rtp/239.3.1.250:8001
北京IPTV 萌宠TV[高清],http://111.199.234.214:3568/rtp/239.3.1.102:8001
聚鲨环球精选[高清],http://111.199.234.214:3568/rtp/239.3.1.179:8001
央广购物[高清]1,http://111.199.234.214:3568/rtp/239.3.1.222:8001
央广购物[高清]2,http://111.199.234.214:3568/rtp/239.3.1.223:8001
优购物[高清],http://111.199.234.214:3568/rtp/239.3.1.180:8001
时尚购物[高清],http://111.199.234.214:3568/rtp/239.3.1.181:8001
家有购物[高清],http://111.199.234.214:3568/rtp/239.3.1.185:8001
金鹰纪实,http://111.199.234.214:3568/rtp/239.3.1.58:8156
快乐垂钓,http://111.199.234.214:3568/rtp/239.3.1.164:8001
