央视卫视HD,#genre#
CCTV12-社会与法, http://49.84.197.249:9901/tsfile/live/0012_1.m3u8
CCTV12-社会与法, http://58.222.98.206:9901/tsfile/live/0012_1.m3u8
CCTV12-社会与法, http://222.186.212.25:9901/tsfile/live/0012_1.m3u8
CCTV12-社会与法, http://218.2.110.186:9901/tsfile/live/0012_1.m3u8
CCTV12-社会与法, http://49.89.45.230:9901/tsfile/live/0012_1.m3u8
CCTV12-社会与法, http://180.101.226.42:9901/tsfile/live/0012_1.m3u8
CCTV12-社会与法, http://218.4.60.218:9901/tsfile/live/0012_1.m3u8
CCTV12-社会与法, http://58.210.23.42:9901/tsfile/live/0012_1.m3u8
CCTV12-社会与法, http://58.209.101.210:9901/tsfile/live/0012_1.m3u8
CCTV13-新闻, http://49.84.197.249:9901/tsfile/live/0013_1.m3u8
CCTV13-新闻, http://58.222.98.206:9901/tsfile/live/0013_1.m3u8
CCTV13-新闻, http://221.226.4.10:9901/tsfile/live/1001_1.m3u8
CCTV13-新闻, http://222.186.212.25:9901/tsfile/live/0013_1.m3u8
CCTV13-新闻, http://218.2.110.186:9901/tsfile/live/0013_1.m3u8
CCTV13-新闻, http://49.87.154.246:9901/tsfile/live/1001_1.m3u8
CCTV13-新闻, http://49.89.45.230:9901/tsfile/live/0013_1.m3u8
CCTV13-新闻, http://180.101.226.42:9901/tsfile/live/0013_1.m3u8
CCTV13-新闻, http://218.4.60.218:9901/tsfile/live/0013_1.m3u8
CCTV13-新闻, http://58.210.23.42:9901/tsfile/live/0013_1.m3u8
CCTV13-新闻, http://58.209.101.210:9901/tsfile/live/0013_1.m3u8
CCTV14-少儿, http://49.84.197.249:9901/tsfile/live/0014_1.m3u8
CCTV14-少儿, http://58.222.98.206:9901/tsfile/live/0014_1.m3u8
CCTV14-少儿, http://222.186.212.25:9901/tsfile/live/0014_1.m3u8
CCTV14-少儿, http://218.2.110.186:9901/tsfile/live/0014_1.m3u8
CCTV14-少儿, http://49.89.45.230:9901/tsfile/live/0014_1.m3u8
CCTV14-少儿, http://180.101.226.42:9901/tsfile/live/0014_1.m3u8
CCTV14-少儿, http://218.4.60.218:9901/tsfile/live/0014_1.m3u8
CCTV14-少儿, http://58.210.23.42:9901/tsfile/live/0014_1.m3u8
CCTV14-少儿, http://58.209.101.210:9901/tsfile/live/0014_1.m3u8
CCTV15-音乐, http://49.84.197.249:9901/tsfile/live/0015_1.m3u8
CCTV15-音乐, http://58.222.98.206:9901/tsfile/live/0015_1.m3u8
CCTV15-音乐, http://222.186.212.25:9901/tsfile/live/0015_1.m3u8
CCTV15-音乐, http://218.2.110.186:9901/tsfile/live/0015_1.m3u8
CCTV15-音乐, http://49.89.45.230:9901/tsfile/live/0015_1.m3u8
CCTV15-音乐, http://180.101.226.42:9901/tsfile/live/0015_1.m3u8
CCTV15-音乐, http://218.4.60.218:9901/tsfile/live/0015_1.m3u8
CCTV15-音乐, http://58.210.23.42:9901/tsfile/live/0015_1.m3u8
CCTV15-音乐, http://58.209.101.210:9901/tsfile/live/0015_1.m3u8
北京卫视, http://49.84.197.249:9901/tsfile/live/0122_1.m3u8
