香港频道,#genre# 
华丽台 HD （Wah Lai Toi）,http://zb.hpc.tw/smtv.php?id=Wlt
欢喜台 HD （Hua Hee Tai）,http://zb.hpc.tw/smtv.php?id=Huahee
Astro QJ,http://zb.hpc.tw/smtv.php?id=Quanjia
TVB Jade,http://zb.hpc.tw/smtv.php?id=Tvbjade
TVB Asia,http://zb.hpc.tw/smtv.php?id=Tvbasia
TVB Entertainment,http://zb.hpc.tw/smtv.php?id=Tvbentertainment
TVB Classic,http://zb.hpc.tw/smtv.php?id=Tvbclassic
AOD,http://zb.hpc.tw/smtv.php?id=Aodhd
TVB 星河台 Xing He,http://zb.hpc.tw/smtv.php?id=Xinhe
爱奇艺 iQiyi,http://zb.hpc.tw/smtv.php?id=Qiyi
Goshop,http://zb.hpc.tw/smtv.php?id=Goshop
Celestial Movies HD,http://zb.hpc.tw/smtv.php?id=Celestial
Astro LOL,http://zb.hpc.tw/smtv.php?id=Astro_lol
Astro Rusi,http://zb.hpc.tw/smtv.php?id=Rusi
WION,http://zb.hpc.tw/smtv.php?id=Wion
RTM Asean,http://zb.hpc.tw/smtv.php?id=Rtmasean

印尼频道,#genre# 
TVRI National,http://zb.hpc.tw/smtv.php?id=TVRI
RCTI,http://zb.hpc.tw/smtv.php?id=Rcti
Kompass TV,http://zb.hpc.tw/smtv.php?id=Kompass
Berita Satu,http://zb.hpc.tw/smtv.php?id=BeritaSatu_eko
Indosiar HD,http://zb.hpc.tw/smtv.php?id=Indosiar
AnTV,http://zb.hpc.tw/smtv.php?id=Antv
MNC TV,http://zb.hpc.tw/smtv.php?id=Mnctv
Trans 7,http://zb.hpc.tw/smtv.php?id=Trans7_eko
Transtv,http://zb.hpc.tw/smtv.php?id=Transtv
JTV,http://zb.hpc.tw/smtv.php?id=JTV_eko
Metro TV,http://zb.hpc.tw/smtv.php?id=metrotv_eko
SCTV,http://zb.hpc.tw/smtv.php?id=SCTV
Tvone,http://zb.hpc.tw/smtv.php?id=Tvone
TVMU,http://zb.hpc.tw/smtv.php?id=TVMU_eko
GTV,http://zb.hpc.tw/smtv.php?id=Gtv
RTV,http://zb.hpc.tw/smtv.php?id=Rtv
Jak TV,http://zb.hpc.tw/smtv.php?id=JakTV
iNews TV,http://zb.hpc.tw/smtv.php?id=Inewstv
Daai TV,http://zb.hpc.tw/smtv.php?id=DaaiTV
