📡央视频道👉,#genre#
CCTV4,http://124.227.201.79:8888/udp/239.81.0.96:4056
CCTV4,http://124.227.201.79:8888/udp/239.81.0.16:4056
CCTV5,http://124.227.201.79:8888/udp/239.81.0.232:4056
CCTV5,http://124.227.201.79:8888/udp/239.81.0.101:4056
CCTV6,http://124.227.201.79:8888/udp/239.81.0.233:4056
CCTV7,http://124.227.201.79:8888/udp/239.81.0.116:4056
CCTV7,http://124.227.201.79:8888/udp/239.81.0.19:4056
CCTV8,http://124.227.201.79:8888/udp/239.81.0.234:4056
CCTV9,http://124.227.201.79:8888/udp/239.81.0.117:4056
CCTV9,http://124.227.201.79:8888/udp/239.81.0.21:4056
CCTV10,http://124.227.201.79:8888/udp/239.81.0.118:4056
CCTV10,http://124.227.201.79:8888/udp/239.81.0.22:4056
CCTV11,http://124.227.201.79:8888/udp/239.81.0.229:4056
CCTV11,http://124.227.201.79:8888/udp/239.81.0.23:4056
CCTV12,http://124.227.201.79:8888/udp/239.81.0.119:4056
CCTV12,http://124.227.201.79:8888/udp/239.81.0.24:4056
CCTV13,http://124.227.201.79:8888/udp/239.81.0.26:4056
CCTV13,http://124.227.201.79:8888/udp/239.81.0.206:4056
CCTV14,http://124.227.201.79:8888/udp/239.81.0.120:4056
CCTV14,http://124.227.201.79:8888/udp/239.81.0.25:4056
CCTV15,http://124.227.201.79:8888/udp/239.81.0.230:4056
CCTV15,http://124.227.201.79:8888/udp/239.81.0.27:4056
CCTV17,http://124.227.201.79:8888/udp/239.81.0.228:4056
CCTV17,http://124.227.201.79:8888/udp/239.81.0.227:4056
CCTV中学生,http://124.227.201.79:8888/udp/239.81.0.87:4056
CETV1,http://124.227.201.79:8888/udp/239.81.0.92:4056
CETV1,http://124.227.201.79:8888/udp/239.81.0.52:4056
CETV2,http://124.227.201.79:8888/udp/239.81.0.245:4056
CETV4,http://124.227.201.79:8888/udp/239.81.0.246:4056
CCTV4,http://124.227.201.79:8888/udp/239.81.0.69:4056
CCTV4,http://124.227.201.79:8888/udp/239.81.0.71:4056
CCTV1,http://123.180.139.180:8888/rtp/239.254.200.45:8008
CCTV2,http://123.180.139.180:8888/rtp/239.254.200.158:6000
CCTV3,http://123.180.139.180:8888/rtp/239.254.200.13:6000
CCTV4,http://123.180.139.180:8888/rtp/239.254.200.190:6307
CCTV5,http://123.180.139.180:8888/rtp/239.254.200.14:6000
CCTV6,http://123.180.139.180:8888/rtp/239.254.200.15:6000
CCTV7,http://123.180.139.180:8888/rtp/239.254.200.159:6000
CCTV8,http://123.180.139.180:8888/rtp/239.254.200.16:6000
CCTV9,http://123.180.139.180:8888/rtp/239.254.200.59:8112
CCTV10,http://123.180.139.180:8888/rtp/239.254.200.160:6000
CCTV11,http://123.180.139.180:8888/rtp/239.254.201.123:8120
CCTV12,http://123.180.139.180:8888/rtp/239.254.200.161:6000
CCTV13,http://123.180.139.180:8888/rtp/239.254.200.9:8264
CCTV14,http://123.180.139.180:8888/rtp/239.254.200.162:6000
CCTV15,http://123.180.139.180:8888/rtp/239.254.201.124:8136
CCTV奥林匹克,http://123.180.139.180:8888/rtp/239.254.201.150:6345
CCTV17,http://123.180.139.180:8888/rtp/239.254.201.120:8144
CCTV5+,http://123.180.139.180:8888/rtp/239.254.200.46:8004
CCTV3,http://123.180.139.180:8888/rtp/239.254.201.152:7205
CCTV5,http://123.180.139.180:8888/rtp/239.254.201.153:7206
CCTV6,http://123.180.139.180:8888/rtp/239.254.201.154:7207
CCTV8,http://123.180.139.180:8888/rtp/239.254.201.155:7208
CCTV16,http://123.180.139.180:8888/rtp/239.254.201.150:6345
CCTV奥林匹克,http://123.180.139.180:8888/rtp/239.254.200.7:6346
CETV1,http://123.180.139.180:8888/rtp/239.254.200.225:6259
CETV2,http://123.180.139.180:8888/rtp/239.254.200.226:6260
CETV4,http://123.180.139.180:8888/rtp/239.254.200.227:6261
CCTV4,http://123.180.139.180:8888/rtp/239.254.201.205:4220
CCTV4,http://123.180.139.180:8888/rtp/239.254.201.206:4220
CCTV1,http://220.189.108.176:19888/rtp/233.50.201.118:5140
CCTV2,http://220.189.108.176:19888/rtp/233.50.201.119:5140
CCTV3,http://220.189.108.176:19888/rtp/233.50.201.196:5140
CCTV4,http://220.189.108.176:19888/rtp/233.50.201.4:5140
CCTV5,http://220.189.108.176:19888/rtp/233.50.201.197:5140
CCTV5+,http://220.189.108.176:19888/rtp/233.50.201.220:5140
CCTV6,http://220.189.108.176:19888/rtp/233.50.201.198:5140
CCTV7,http://220.189.108.176:19888/rtp/233.50.201.120:5140
CCTV8,http://220.189.108.176:19888/rtp/233.50.201.199:5140
CCTV9,http://220.189.108.176:19888/rtp/233.50.201.121:5140
CCTV10,http://220.189.108.176:19888/rtp/233.50.201.122:5140
CCTV11,http://220.189.108.176:19888/rtp/233.50.201.11:5140
CCTV12,http://220.189.108.176:19888/rtp/233.50.201.123:5140
CCTV13,http://220.189.108.176:19888/rtp/233.50.201.246:5140
CCTV14,http://220.189.108.176:19888/rtp/233.50.201.124:5140
CCTV15,http://220.189.108.176:19888/rtp/233.50.201.15:5140
CCTV16,http://220.189.108.176:19888/rtp/233.50.201.63:5140
CCTV16,http://220.189.108.176:19888/rtp/233.50.201.192:5140
CCTV17,http://220.189.108.176:19888/rtp/233.50.201.35:5140

📡卫视频道👉全网,#genre#
凤凰卫视中文,http://220.189.108.176:19888/rtp/233.50.200.191:5140
凤凰卫视资讯,http://220.189.108.176:19888/rtp/233.50.200.192:5140
广西卫视,http://110.72.65.11:808/hls/9/index.m3u8
广西卫视,http://110.72.64.172:808/hls/9/index.m3u8
广西卫视,http://110.72.64.143:808/hls/9/index.m3u8
河北卫视,http://111.225.92.102:8800/hls/17/index.m3u8
浙江卫视,http://111.225.92.102:8800/hls/31/index.m3u8
江苏卫视,http://111.225.92.102:8800/hls/32/index.m3u8
安徽卫视,http://111.225.92.102:8800/hls/33/index.m3u8
北京卫视,http://111.225.92.102:8800/hls/34/index.m3u8
天津卫视,http://111.225.92.102:8800/hls/35/index.m3u8
辽宁卫视,http://111.225.92.102:8800/hls/36/index.m3u8
山东卫视,http://111.225.92.102:8800/hls/37/index.m3u8
河南卫视,http://111.225.92.102:8800/hls/39/index.m3u8
黑龙江卫视,http://111.225.92.102:8800/hls/40/index.m3u8
四川卫视,http://111.225.92.102:8800/hls/41/index.m3u8
江西卫视,http://111.225.92.102:8800/hls/42/index.m3u8
贵州卫视,http://111.225.92.102:8800/hls/43/index.m3u8
深圳卫视,http://111.225.92.102:8800/hls/44/index.m3u8
湖北卫视,http://111.225.92.102:8800/hls/45/index.m3u8
东方卫视,http://111.225.92.102:8800/hls/46/index.m3u8
重庆卫视,http://111.225.92.102:8800/hls/47/index.m3u8
东南卫视,http://111.225.92.102:8800/hls/48/index.m3u8
广东卫视,http://111.225.92.102:8800/hls/49/index.m3u8
广西卫视,http://111.225.92.102:8800/hls/50/index.m3u8
吉林卫视,http://111.225.92.102:8800/hls/51/index.m3u8
